timestamp,index,utilization_gpu,memory_used_mib,memory_total_mib
2026-07-15T08:08:30+00:00,1, 0, 3, 97871
2026-07-15T08:08:35+00:00,0, 6, 4695, 97871
2026-07-15T08:08:35+00:00,1, 0, 3, 97871
2026-07-15T08:08:40+00:00,0, 0, 4695, 97871
2026-07-15T08:08:40+00:00,1, 0, 3, 97871
2026-07-15T08:08:46+00:00,0, 0, 4695, 97871
2026-07-15T08:08:46+00:00,1, 0, 3, 97871
2026-07-15T08:08:51+00:00,0, 22, 4695, 97871
2026-07-15T08:08:51+00:00,1, 0, 3, 97871
2026-07-15T08:08:56+00:00,0, 0, 4695, 97871
2026-07-15T08:08:56+00:00,1, 0, 3, 97871
2026-07-15T08:09:01+00:00,0, 0, 4695, 97871
2026-07-15T08:09:01+00:00,1, 0, 3, 97871
2026-07-15T08:09:06+00:00,0, 0, 4695, 97871
2026-07-15T08:09:06+00:00,1, 0, 3, 97871
2026-07-15T08:09:11+00:00,0, 26, 4695, 97871
2026-07-15T08:09:11+00:00,1, 0, 3, 97871
2026-07-15T08:09:16+00:00,0, 0, 4695, 97871
2026-07-15T08:09:16+00:00,1, 0, 3, 97871
2026-07-15T08:09:21+00:00,0, 0, 4695, 97871
2026-07-15T08:09:21+00:00,1, 0, 3, 97871
2026-07-15T08:09:26+00:00,0, 0, 4695, 97871
2026-07-15T08:09:26+00:00,1, 0, 3, 97871
2026-07-15T08:09:31+00:00,0, 0, 4695, 97871
2026-07-15T08:09:31+00:00,1, 0, 3, 97871
2026-07-15T08:09:36+00:00,0, 0, 4695, 97871
2026-07-15T08:09:36+00:00,1, 0, 3, 97871
2026-07-15T08:09:42+00:00,0, 0, 4695, 97871
2026-07-15T08:09:42+00:00,1, 0, 3, 97871
2026-07-15T08:09:47+00:00,0, 0, 4695, 97871
2026-07-15T08:09:47+00:00,1, 0, 3, 97871
2026-07-15T08:09:52+00:00,0, 15, 4695, 97871
2026-07-15T08:09:52+00:00,1, 0, 3, 97871
2026-07-15T08:09:57+00:00,0, 0, 4695, 97871
2026-07-15T08:09:57+00:00,1, 0, 3, 97871
2026-07-15T08:10:02+00:00,0, 0, 4695, 97871
2026-07-15T08:10:02+00:00,1, 0, 3, 97871
2026-07-15T08:10:07+00:00,0, 0, 4695, 97871
2026-07-15T08:10:07+00:00,1, 0, 3, 97871
2026-07-15T08:10:12+00:00,0, 37, 4695, 97871
2026-07-15T08:10:12+00:00,1, 0, 3, 97871
2026-07-15T08:10:17+00:00,0, 0, 4695, 97871
2026-07-15T08:10:17+00:00,1, 0, 3, 97871
2026-07-15T08:10:22+00:00,0, 2, 4695, 97871
2026-07-15T08:10:22+00:00,1, 0, 3, 97871
2026-07-15T08:10:28+00:00,0, 24, 4695, 97871
2026-07-15T08:10:28+00:00,1, 0, 3, 97871
2026-07-15T08:10:33+00:00,0, 0, 4695, 97871
2026-07-15T08:10:33+00:00,1, 0, 3, 97871
2026-07-15T08:10:38+00:00,0, 0, 4695, 97871
2026-07-15T08:10:38+00:00,1, 0, 3, 97871
2026-07-15T08:10:43+00:00,0, 4, 4695, 97871
2026-07-15T08:10:43+00:00,1, 0, 3, 97871
2026-07-15T08:10:48+00:00,0, 0, 4695, 97871
2026-07-15T08:10:48+00:00,1, 0, 3, 97871
2026-07-15T08:10:53+00:00,0, 7, 4695, 97871
2026-07-15T08:10:53+00:00,1, 0, 3, 97871
2026-07-15T08:10:58+00:00,0, 0, 4695, 97871
2026-07-15T08:10:58+00:00,1, 0, 3, 97871
2026-07-15T08:11:03+00:00,0, 0, 4695, 97871
2026-07-15T08:11:03+00:00,1, 0, 3, 97871
2026-07-15T08:11:08+00:00,0, 0, 4695, 97871
2026-07-15T08:11:08+00:00,1, 0, 3, 97871
2026-07-15T08:11:13+00:00,0, 6, 4695, 97871
2026-07-15T08:11:13+00:00,1, 0, 3, 97871
2026-07-15T08:11:18+00:00,0, 9, 4695, 97871
2026-07-15T08:11:18+00:00,1, 0, 3, 97871
2026-07-15T08:11:24+00:00,0, 0, 4695, 97871
2026-07-15T08:11:24+00:00,1, 0, 3, 97871
